,ERA,ERAgainst,AVGbat,OPS,WPApitch,Batting,HR,EV,WARpitch,FIP,WHIPAllowed,RBI,KtoBB,WARbat,Win_Percent
17,3.45,561.0,0.244,0.712,7.36,-13.1,177.0,88.7,19.0,3.53,1.18,654.0,3.49,24.6,0.5555555555555556
18,4.03,653.0,0.251,0.744,7.08,22.3,212.0,88.2,18.4,3.97,1.3,737.0,2.89,20.7,0.5370370370370371
19,4.16,668.0,0.251,0.707,-8.93,-33.2,146.0,87.3,13.0,4.13,1.3,661.0,2.49,11.3,0.419753086419753
20,4.69,749.0,0.249,0.684,-10.14,-98.4,130.0,87.4,10.3,4.4,1.45,586.0,2.36,8.8,0.3888888888888889
21,3.23,534.0,0.26,0.719,15.16,-21.0,140.0,88.5,19.5,3.36,1.24,661.0,2.95,24.0,0.6049382716049383
22,4.09,655.0,0.243,0.685,-3.9,-68.3,148.0,87.9,9.7,3.93,1.31,623.0,2.7,16.4,0.4567901234567901
23,4.16,677.0,0.249,0.722,-2.12,2.3,198.0,89.9,9.1,4.14,1.31,624.0,2.61,17.4,0.4691358024691358
24,3.73,599.0,0.267,0.732,2.13,25.9,136.0,87.6,8.8,3.91,1.23,663.0,2.7,29.5,0.5185185185185185
25,2.94,478.0,0.253,0.716,19.45,-22.1,137.0,88.0,20.6,3.48,1.25,619.0,2.79,23.6,0.6172839506172839
26,3.74,604.0,0.252,0.72,4.19,-2.8,167.0,87.9,14.7,3.91,1.23,612.0,2.84,19.6,0.4938271604938271
27,4.25,682.0,0.257,0.739,3.88,-16.8,172.0,88.6,11.0,4.34,1.36,707.0,2.16,21.6,0.5432098765432098
28,3.81,610.0,0.269,0.797,-1.05,124.9,232.0,88.8,13.7,4.09,1.21,852.0,2.81,36.7,0.5740740740740741
29,3.62,577.0,0.251,0.724,1.99,-27.4,177.0,89.4,22.2,3.45,1.21,665.0,3.69,17.9,0.5123456790123457
30,5.09,821.0,0.261,0.752,-9.92,-57.6,190.0,89.0,10.1,4.5,1.49,709.0,2.19,16.7,0.4259259259259259
31,4.51,725.0,0.255,0.705,-1.8,-104.7,122.0,88.3,9.0,4.32,1.35,615.0,2.24,12.2,0.422360248447205
32,4.22,671.0,0.256,0.76,5.74,20.1,253.0,89.4,15.7,4.31,1.36,710.0,2.29,21.4,0.5493827160493827
33,4.0,640.0,0.282,0.81,2.97,99.3,208.0,89.1,18.8,4.0,1.27,836.0,2.78,32.3,0.5740740740740741
34,3.15,511.0,0.256,0.772,18.68,44.0,199.0,88.2,18.8,3.77,1.11,767.0,2.91,35.9,0.639751552795031
35,4.12,662.0,0.257,0.727,-1.37,-24.7,168.0,88.5,17.1,4.27,1.34,656.0,2.44,16.5,0.4814814814814814
