,WPApitch,Batting,SH,AVGbat,ERAgainst,HBP,Zswingbat,EV,BABIP,Clutch,HRtoFBbat,IFFBpercent,FBpercent,HRtoFB,BBpercentpitch,BBpercentbat,OContactpitch,Zcontactbat,Win_Percent
135,6.21,-26.3,20.0,0.246,714.0,72.0,66.6,89.7,0.292,-0.16,17.8,9.4,35.3,15.6,9.1,10.0,64.6,84.1,0.5493827160493827
136,11.36,133.7,10.0,0.27,680.0,81.0,70.8,89.7,0.309,-2.77,17.7,10.6,39.3,13.4,7.2,8.2,62.3,85.8,0.6234567901234568
137,-1.04,41.2,28.0,0.257,690.0,95.0,72.1,89.1,0.304,-1.66,16.8,8.2,34.0,13.9,8.0,8.2,64.5,84.6,0.5308641975308642
138,9.04,133.3,10.0,0.267,691.0,49.0,68.7,90.0,0.296,1.14,19.8,10.3,37.2,16.8,8.3,9.1,62.2,85.0,0.6358024691358025
139,8.65,57.0,7.0,0.249,646.0,87.0,68.4,89.4,0.278,1.42,15.9,11.4,37.9,12.6,7.8,9.2,66.1,84.9,0.5987654320987654
140,0.95,-79.5,34.0,0.246,732.0,57.0,67.9,88.8,0.298,-1.26,14.5,12.7,36.0,17.9,8.7,9.0,65.3,84.5,0.5
141,-12.63,-68.1,47.0,0.265,830.0,63.0,72.3,88.4,0.315,3.66,11.6,8.4,31.6,15.7,9.1,6.8,62.2,86.9,0.4259259259259259
142,-1.02,-90.0,37.0,0.238,737.0,55.0,67.0,88.9,0.299,-4.93,16.6,12.0,34.8,14.8,7.5,8.4,63.3,83.8,0.4320987654320987
143,-10.46,-9.3,14.0,0.237,799.0,58.0,66.7,87.4,0.291,-2.13,15.7,9.7,38.7,16.4,8.1,9.5,65.5,82.9,0.419753086419753
144,5.42,-145.7,24.0,0.239,715.0,50.0,70.7,87.8,0.286,0.61,11.6,8.4,34.6,15.1,8.3,7.7,65.0,84.4,0.4753086419753086
145,7.84,-38.2,40.0,0.245,613.0,76.0,67.4,87.9,0.283,0.71,14.3,9.0,36.5,14.5,9.0,9.1,62.7,84.8,0.5617283950617284
146,16.26,32.2,8.0,0.254,602.0,73.0,69.5,89.5,0.29,-2.55,15.4,9.5,34.0,13.4,7.4,8.6,58.8,84.5,0.5925925925925926
147,3.18,-98.8,17.0,0.248,813.0,67.0,66.0,89.4,0.312,2.85,15.9,9.2,35.3,15.4,9.2,8.6,65.1,84.0,0.4814814814814814
148,-2.49,-59.4,14.0,0.236,767.0,45.0,67.9,88.7,0.3,-3.0,15.8,11.2,39.2,14.9,9.6,8.4,63.1,84.5,0.4135802469135802
149,3.04,31.0,48.0,0.265,684.0,81.0,67.3,88.6,0.296,1.42,14.8,10.5,37.4,13.9,8.4,9.3,60.8,87.5,0.5740740740740741
150,-2.6,-35.0,1.0,0.241,279.0,36.0,68.1,88.0,0.294,0.33,10.8,10.0,34.8,15.7,10.3,8.1,61.3,84.7,0.4166666666666667
151,2.43,59.3,1.0,0.268,260.0,23.0,71.7,89.5,0.294,-2.52,17.9,7.0,38.2,13.2,9.7,10.2,63.1,82.1,0.5833333333333334
152,-2.02,5.4,15.0,0.258,260.0,27.0,70.7,87.0,0.282,-1.36,14.4,13.5,35.7,14.6,8.5,7.3,62.6,83.6,0.4166666666666667
153,-5.43,14.6,4.0,0.265,325.0,21.0,69.2,88.5,0.332,-0.46,14.9,7.6,35.1,18.9,10.5,8.1,61.7,84.2,0.4
154,6.3,-22.9,1.0,0.22,230.0,52.0,64.1,88.9,0.278,-1.42,15.9,10.8,34.3,16.0,8.5,10.3,61.3,83.6,0.5666666666666667
155,3.53,31.1,1.0,0.261,223.0,24.0,67.1,88.7,0.269,-1.86,19.2,11.0,33.6,14.5,9.7,7.9,58.9,82.8,0.5833333333333334
156,3.83,-36.2,0.0,0.212,218.0,33.0,66.4,88.2,0.278,0.46,18.1,5.4,37.9,14.6,10.0,11.3,54.0,84.0,0.5166666666666667
157,10.19,-27.1,7.0,0.228,196.0,24.0,67.3,88.2,0.285,0.33,11.5,11.1,35.7,13.4,7.2,10.6,55.3,84.7,0.5833333333333334
158,1.19,-69.7,7.0,0.257,327.0,10.0,69.4,87.0,0.307,0.54,11.5,10.6,36.1,15.0,8.8,7.1,63.7,84.9,0.4333333333333333
159,-3.59,-21.0,1.0,0.245,308.0,19.0,69.6,88.5,0.297,2.16,13.5,9.8,34.3,17.1,8.8,7.1,63.8,83.7,0.396551724137931
160,-0.22,-9.3,6.0,0.24,251.0,23.0,68.4,88.2,0.288,1.12,11.8,11.3,37.7,14.0,9.7,8.6,60.2,87.8,0.4833333333333333
161,2.39,-26.3,8.0,0.244,247.0,18.0,69.2,87.1,0.303,-2.45,13.7,9.3,34.3,15.0,9.4,7.8,58.6,83.6,0.4333333333333333
162,-3.47,18.4,6.0,0.248,297.0,25.0,63.1,89.1,0.287,-2.51,14.9,12.1,36.9,14.0,8.8,10.4,60.4,85.5,0.4333333333333333
163,5.94,59.8,3.0,0.256,181.0,30.0,69.2,90.0,0.252,0.11,18.6,6.6,40.3,13.2,6.7,9.8,64.3,85.4,0.7166666666666667
164,1.49,-19.0,6.0,0.244,272.0,25.0,66.1,87.4,0.297,0.58,13.4,9.4,32.1,15.7,10.2,8.8,65.9,83.3,0.5166666666666667
165,3.31,-28.3,0.0,0.223,240.0,35.0,65.9,88.2,0.296,0.79,17.1,8.9,32.6,15.2,8.6,10.1,59.6,82.8,0.4833333333333333
166,6.74,8.0,2.0,0.242,204.0,29.0,67.6,89.1,0.288,-0.69,16.6,10.0,38.7,12.1,8.0,8.6,60.6,85.1,0.6
167,-3.97,66.2,1.0,0.272,286.0,45.0,71.7,88.4,0.316,-4.19,17.6,10.0,31.9,15.8,9.7,8.6,60.9,85.9,0.4333333333333333
168,0.76,45.9,1.0,0.247,242.0,30.0,67.3,89.2,0.28,-1.68,19.0,7.5,34.4,16.0,7.9,11.4,62.2,84.7,0.55
169,5.9,8.1,2.0,0.225,216.0,39.0,66.4,89.0,0.285,-0.01,12.6,11.7,40.3,12.3,7.6,10.8,63.3,83.8,0.6
170,-5.2,23.7,8.0,0.257,287.0,28.0,68.7,88.2,0.343,-0.7,14.7,9.9,38.1,18.6,8.4,10.3,63.1,84.8,0.4666666666666667
171,-3.86,-77.5,7.0,0.22,267.0,11.0,69.3,88.1,0.28,0.48,12.3,8.8,33.6,16.2,11.2,7.8,58.9,84.5,0.3166666666666666
172,1.82,46.8,12.0,0.257,224.0,28.0,65.9,89.8,0.29,1.18,18.3,7.9,34.6,14.1,7.9,9.1,59.2,85.8,0.6166666666666667
173,-2.36,-22.4,3.0,0.226,289.0,30.0,64.9,87.8,0.281,2.12,12.0,9.8,36.1,13.5,10.2,9.5,64.5,82.8,0.45
174,-2.36,34.0,4.0,0.263,267.0,27.0,69.8,88.9,0.281,-0.36,14.2,7.5,37.5,12.1,9.4,8.6,63.4,84.2,0.4833333333333333
175,2.16,-16.7,4.0,0.234,206.0,33.0,65.4,87.3,0.25,1.72,11.2,9.0,35.5,15.4,10.3,10.2,60.6,83.8,0.5172413793103449
176,7.16,29.5,0.0,0.238,209.0,28.0,66.8,88.9,0.291,1.19,16.5,10.5,35.2,14.9,7.6,10.7,60.4,80.5,0.6666666666666666
177,-3.6,-62.5,2.0,0.217,288.0,24.0,67.0,88.6,0.277,1.36,12.5,13.1,35.7,14.0,10.4,7.8,66.5,82.2,0.3666666666666666
178,1.63,10.7,8.0,0.255,270.0,12.0,69.4,89.5,0.302,0.63,16.6,8.3,34.8,14.9,10.8,9.0,62.0,84.1,0.5333333333333333
179,-0.63,12.6,5.0,0.264,285.0,32.0,68.8,87.7,0.317,-4.79,13.2,7.6,32.9,16.3,9.5,8.7,63.2,87.0,0.4333333333333333
180,-17.28,-119.7,32.0,0.236,811.0,54.0,66.7,87.7,0.299,-2.68,9.8,10.6,36.4,13.8,8.9,8.7,66.9,84.6,0.3209876543209876
181,7.46,-11.7,32.0,0.244,610.0,67.0,73.5,89.4,0.28,-2.17,15.7,8.8,38.6,13.5,8.7,9.1,58.5,83.1,0.546583850931677
182,-15.85,-69.3,14.0,0.239,911.0,65.0,68.8,88.3,0.305,-4.32,12.9,12.4,38.0,15.1,9.0,7.5,66.3,83.9,0.3209876543209876
183,5.56,43.4,10.0,0.261,674.0,61.0,69.9,89.9,0.323,1.51,13.7,11.9,38.8,12.6,8.9,8.4,61.1,83.6,0.5679012345679012
